Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,"Hey Kadasjah, it's Ashanti with Aptamigo. Thanks for submitting your form! I'm happy to help you find your next apartment and share any info from my social media pages.

What areas/neighborhoods are you considering?",,,,,"Submitted form has Full name, phone number, email, budget, move date, and sometimes notes of lead. Therefore first message is sent with that context."
Lead,"Hi ashanti, I hope all is well! I am interested in areas such as Katy, Cypress, Jersey Village, Med Center, energy corridor, Memorial, downtown, and galleria",,,,,
Agent,"Thanks! Okay got it, how soon do you need to move?",,,,,
Lead,I need to move mid to late May. My lease ends May 31,,,,"January 21, 2025",Moving in about 4 months - Lead being in a current lease slighly indicates they are qualified. Still need to verify what apartment criteria they are wanting
Agent,Got it. I have your budget at 2 bedrooms under $1800. Is that flexible at all or a strict max?,,,,,
Lead,the budget is a strict max as of now,,,,,
Agent,"Got it, thanks. Is there any other details you want to share about what you’re looking for that you want or need? Certain amenities, pet friendly, etc?",,,,,
Agent,Also with your location being so wide. Do you work remote or is there a work/frequent address you’d like to stay close to?,,,,,
Lead,"Yes, I work remote so I’m open to being a little further out. In terms of amenities, I’m looking for a place with an open concept, no carpet in the living room areas, and gym with updated equipment",,,Lead is qualified - Time to send list (human sends list),,
Agent,"Okay got it. For insight, availability will only show as far out as about mid/late March right now, until 60 day notices come in from current renters for later dates. And we won’t want to tour so early because you’d miss out on look and lease specials (applying within 48 hours of touring) if you tour soon and re-tour closer to your move date. Just keep these things in mind. I’ll send a quick list shortly and then a final list of deals when we’re about 60 days from your move date. We’ll aim to start touring late March/early April """,,,,,Best time to start an apartment search is about 60 days from moving. Most apartments in Texas require 60 day notice from renters to vacate. When 60 day notices are submitted is when a renters apartment will go back on the market for everyone to see. 
Agent,"Just emailed your list

Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling  

You’ll see a few with a base rent over $1800. But with the specials factored in, monthly rent will be under $1800 per month 

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll keep my eye on them for when we start touring! Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll keep my eye on them for when we start touring!",,,Apartment List has been sent,,
Lead,Perfect thanks!,,,,,
Agent,Pleasure is mine!,,,,,
Lead,Sorry for the delay based on the list you sent over my top choices are listed below: 1. Ascension on the Bayou 2. Westover at West Branch 3. Alta Cypress Springs 4. Ascend Ventana Lakes 5. Modera Garden Oaks,,,Lead has sent favorites,,
Agent,"No worries, thanks for sending these over. This is perfect, I’ll save these and when it’s time to tour (late March/early April) we’ll solidify a full list and schedule tours. That sound okay?",,,,,
Lead,"Sounds great, thanks!",,,,,
Agent,Of course!,,,,,
Agent,Good afternoon Kadasjah! I just wanted to check in and make sure you’re all good for now. With your lease ending May 31 are you still good to start touring late March/Early April?,,,,"February 28,2025",
Lead,"Good Afternoon, yes I’m all good to start touring during that time",,,,,
Agent,"Sounds perfect, I’ll reach out then to get you going with all your best options so we can start touring!",,,,,
Lead,Okay great,,,,,
Agent,Good morning Kadasjah! Just wanted to make sure all is well and you’re ready to start our search toward the end of this month? Is all the same since we last spoke?,,,,"March 14, 2025",
Lead,"Yes, all is well and all is the same since we last spoke. However, I also wanted to know if you offering locating for residential leases such as townhomes as well",,,,,
Agent,Okay great. No unfortunately I specialize in the apartment side. Are you leaning more toward a private residential lease?,,,,,
Lead,"Yes, however I’m still open to apartment living but I’ve come across better options with the private residential leases",,,,,
Agent,"Okay, sounds good. We’ll get started toward the end of the month so you have all your options and can make the most informed decision from there",,,,,
Agent,"Hey Kadasjah, are you all good to get started with our search?",,,,"March 27, 2025",
Lead,Yes,,,,,
Agent,"Okay great, has anything changed since we last spoke with price point or areas you want to live?",,,,,
Lead,No changes,,,,,
Agent,"Okay, sounds good. I’ll send some options in a bit and we can start to schedule some tours",,,Time to send list (human sends list),,
Lead,Okay thanks!,,,,,
Agent,Happy to help!,,,,,
Agent,"Just emailed your list 

Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling. 

You’ll see a few with a base rent over $1800. But with the specials factored in, monthly rent will be under $1800 per month 

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll have them scheduled!",,,Apartment List has been sent,,
Lead,Perfect I’ll look over the list shortly,,,,,
Agent,Sounds perfect,,,,,
Lead,"1. Ascension on the Bayou 
2. Modera Garden Oaks 
3. Park on Napoli 
4. Westover at West Branch",,,Lead has sent favorites,,
Lead,However I won’t be able to tour this week as I’m out of town,,,,,
Agent,"Okay got it. No worries, what day next week/weekend will be best?",,,,,
Lead,Saturday,,,Lead shares when she can tour - time to schedule tours (human schedules tours),,
Agent,"Okay, I’ll update you with your full schedule",,,,,
Agent,"Hey Kadasjah, here is your full schedule. Please let me know if you have any questions! 

10 AM – Park on Napoli 
11 AM – Ascension on the Bayou 
12:30 PM – West over at West branch 
2 PM – Madera Garden Oaks",,,Tour schedule for client (Sent by human),,
Agent,How did everything go today? Any seem like the one or are we still looking?,,,,,
Lead,"Hello, Sorry for my delay it’s been hectic lately. I’ve decided on an apartment so working on that application process",,,Client indicates she has or will be applying ,,
Agent,"Hey, good morning Kadasjah. Im sorry to hear that, I hope everything is okay. I’m glad you found the right place, which apartment did you decide on applying to?",,,,,
Lead,The Parkline,,,,,Lead went with an apartment I did not send and did not indicate she listed me as her referral so we likely will not be paid for assisting in her apartment search
Agent,That sounds amazing! I’m happy you found the right place. If I can help at all throughout your application process with communication with the office or anything else please let me know!,,,,,Still happy for her
,,,,,,
,,,,,,
,,,,,,
Lead,"Hey Ashanti, thanks for hopping on a call with me.

Name: Tee Spencer
Email: kidspencer22@gmail.com",,,,,We spoke on the phone
Agent,"Don't mention it Tee, happy to help! Thanks for the info. I'll send some options in a bit.",,,We should be sending apartment list shortly,,
Lead,Sounds good,,,,,
Agent,"Just emailed your list. Residences at Kingwood have a loft with super high ceilings and lots of light that might interest you.

Some require me to escort you to get credit + a lot of the properties require locator to set up your appointment – so please let me take care of all scheduling when you visit next month

I'm going to send another list closer to your visit as well

Let me know the top three you'd want to tour ideally in the next 24–48 hours and I'll make sure they're set up for when you visit!",,,We have sent apartment list - human sends lists,, we already established she was moving from somewhere else and not already living in Houston. That's why they mention for making sure tours were set up for when she visited
Lead,"Just responded to your email and sounds good!

So far residence is at Kingwood look interesting.

I'll be on the lookout for another list in the meantime",,,,,
Agent,Sounds perfect! I'll send more options in the area as you mentioned in the email this week,,,,,
Lead,Great thanks again!,,,,,
,Happy to help!,,,,,
