Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,"Hey Jyesha, it’s Ashanti. This is my cell so reach me anytime here.",,,,,
Lead,"Okay, Thank you!",,,,,
Agent,"Loved “Okay, Thank you!”",,,,,
Agent,…And thank you!,,,,,
Lead,Loved “…And thank you!”,,,,,
Agent,"Hey, good morning! How did you make out? Did you go ahead and apply or still weighing options?",,,,,
Lead,"Good morning! I believe thats the one I’m going to go with. If I was to apply today, that means the apartment’s quote could have changed? Also, is it a chance I could get a different apartment than the one she mention in the tour?",,,,,
Agent,The quote was for 48 hours of our tour so literally about now. The page to apply on the website seems to be down so I think you should call and tell them you’re trying to apply within your 48 hour window and it’s not letting you. You can choose any unit you want,,,,,
Lead,"Okay, cool beans. No answer surprisingly. 
 
 Harlow’s rate is still the same?",,,,,
Agent,"Price is actually still the same for Pearl. Cheaper if you want to set move date for the next two weeks. You have a 4 units to choose from. 
 
 Harlow went up actually. $1308 is the lowest price. Available now",,,,,
Lead,Loved “Price is actually still the same for Pearl. Cheape…”,,,,,
Agent,Good morning! Are you all set with your application to Pearl? I’ve been checking in with Harlow and still no price drop yet,,,,,
Lead,Hey Ashanti! Thank you! And I got cold feet. 😮‍💨I’m going to think on it for a day or two.,,,,,
Agent,Okay! Don’t feel pressure. Make it feel right! I’ll run another search tomorrow to see if there are other options that might work better,,,,,
Lead,Thanks so much!,,,,,
Agent,Of course!,,,,,
Lead,Loved “Of course!”,,,,,
Agent,"Good Morning! ☀️Here’s a few more to look at. District and The Peri would be a similar distance from work as Pearl Woodlake and Smart Living Heights is inside the loop! Let me know if you’d like to see either of them
 
 District at Memorial
 Studio | $1097 | 572 sqft
 1/1 | $1189 | 695 sqft
 
 The Peri on Westheimer
 1/1 | $1114 | 712 sqft 
 
 Smart Living Heights
 1/1 | $1230 | 631 sqft",,,,,
Agent,"Hey Jyesha, checking on your search. Do you still need more options to look at?",,,,,
Lead,Loved “Good Morning! ☀️Here’s a few more to look at. Dist…”,,,,,
Lead,"Hey Ashanti, and I like District at Memorial. I would like to see that one.",,,,,
Agent,"Good morning, sorry for the late reply. When would you like to see District at Memorial?",,,,,
Lead,"Good morning! No worries, Friday is great.",,,,,
Agent,"Okay, I requested a tour online. They didn’t specify date so should be reaching out to you.",,,,,
Agent,"Loved “Good morning! No worries, Friday is great.”",,,,,
Lead,Thank you!,,,,,
Agent,You’re welcome!,,,,,
Agent,"Hey Jyesha, try looking into Broadstone Energy Park if you haven’t signed yet. Really great rates right now under $1100",,,,,
Agent,A little further west though,,,,,
Lead,I haven’t. Thank you !,,,,,
Agent,"You’re welcome! Let me know if you decide to see them, these I’m required to be there for credit",,,,,
Lead,Sure thing!,,,,,
Agent,Loved “Sure thing! ”,,,,,
Agent,Hey Jyesha! Harlow has a 1 bedroom for $1144 available 12/17. Their A1 floorplan,,,,,
Agent,Good morning*,,,,,
Lead,"Okay, Great! I’m going to feel out the app ASAP",,,,,
Agent,Sounds perfect 👍🏼,,,,,
Agent,Good morning! Noticed the unit isn’t there anymore. Hoping that was you who applied!,,,,,
Lead,Good Morning and It was! I hoped on it real fast. Lol,,,,,
Agent,Lol perfect! 🙌🏼,,,,,
Agent,Please keep me in the loop once they get back to you about approval,,,,,
Lead,"Definitely will, Thank you!",,,,,
Agent,Thanks! Pleasure is mine!,,,,,
Lead,Loved “Thanks! Pleasure is mine!”,,,,,
Lead,"Good morning, I’m still in the process. 
 
 How does the renter’s verification work? Is it requires that they speak with a former landlord?",,,,,
Agent,"Okay, thanks for the update. 
 
 Many times it’s a 3rd party to screen and see if you’ve ever had any broken leases or missed or late payments. It’s possible they call and verify rental history themselves though",,,,,
Lead,Ooh okay gotcha,,,,,
Lead,"Hey Ashanti, my application has been approved. I’m about to move forward with signing the lease.",,,,,
Agent,"Awesome!! Congratulations!!🍾 That sounds perfect 👍
 
 Can you ask them for the form for you to fill out for the locator referral please",,,,,
Lead,Thank you and sure will!,,,,,
Agent,"Hey Jyesha, when you get a chance can you send me these details please?
 
 - Full name of any/all lease holders
 - Move-in date 
 - Lease Term
 - Unit Number
 - Base rent",,,,,
Lead,"Jyesha Ki’Imani Johnson
 12/17
 15 months 
 0901
 1144.00
 
 Sorry it took awhile.",,,,,
Agent,"Loved “Jyesha Ki’Imani Johnson
 12/17
 15 months 
 0901
 1144…”",,,,,
Agent,No worries! Thanks!,,,,,
Agent,"Hey Jyesha! Hope all is well, I just wanted to check on how things are going. How’s everything at your apartment?",,,,,
