id,thread_id,turn_id,lead,target_agent,prediction,cosine,rougeL,action_match,entity,style,total
1a267395ab355bde,0,0,"Okay, Thank you!","…And thank you!   Hey, good morning! How did you make out? Did you go ahead and apply or still weighing options?","Got it, thank you! What's your budget range for the apartment?",0.14,0.1212,0.0,0.0,1.0,0.2172
b01e1de79e6f71c0,0,1,"Good morning! I believe thats the one I’m going to go with. If I was to apply today, that means the apartment’s quote could have changed? Also, is it a chance I could get a different apartment than the one she mention in the tour?",The quote was for 48 hours of our tour so literally about now. The page to apply on the website seems to be down so I think you should call and tell them you’re trying to apply within your 48 hour window and it’s not letting you. You can choose any unit you want,"Got it, thank you! If you apply today, the quote should generally stay the same, but it’s always good to confirm. As for different apartments, it depends on availability; I can check that for you. Would you like me to do that?",0.3103,0.1818,1.0,0.0,0.8571,0.4644
b9bfbee17120e37b,0,2,"Okay, cool beans. No answer surprisingly.     Harlow’s rate is still the same?",Price is actually still the same for Pearl. Cheaper if you want to set move date for the next two weeks. You have a 4 units to choose from.     Harlow went up actually. $1308 is the lowest price. Available now   Good morning! Are you all set with your application to Pearl? I’ve been checking in with Harlow and still no price drop yet,"Harlow went up to $1308, available now. Want to schedule a tour?",0.3917,0.1842,0.0,0.0,0.8571,0.2933
d701c648d1e2c74f,0,3,Hey Ashanti! Thank you! And I got cold feet. 😮‍💨I’m going to think on it for a day or two.,Okay! Don’t feel pressure. Make it feel right! I’ll run another search tomorrow to see if there are other options that might work better,"Got it, no worries! Take your time to think it over. Let me know if you have any questions or need more info in the meantime.",0.12,0.1154,1.0,0.0,0.8571,0.3879
94267d0df821cb13,0,4,Thanks so much!,"Of course!   Good Morning! ☀️Here’s a few more to look at. District and The Peri would be a similar distance from work as Pearl Woodlake and Smart Living Heights is inside the loop! Let me know if you’d like to see either of them    District at Memorial  Studio | $1097 | 572 sqft  1/1 | $1189 | 695 sqft    The Peri on Westheimer  1/1 | $1114 | 712 sqft     Smart Living Heights  1/1 | $1230 | 631 sqft   Hey Jyesha, checking on your search. Do you still need more options to look at?",You’re welcome! I’ll check back in a couple of days. Enjoy your day!,0.1291,0.0571,0.0,0.0,0.5714,0.1395
f61ae19877877a99,0,5,"Hey Ashanti, and I like District at Memorial. I would like to see that one.","Good morning, sorry for the late reply. When would you like to see District at Memorial?",Great choice! Let’s set up a tour for District at Memorial. What day and time work best for you?,0.2868,0.2222,0.0,0.0,0.7143,0.2408
2350eae3e7a205f0,0,6,"Good morning! No worries, Friday is great.","Okay, I requested a tour online. They didn’t specify date so should be reaching out to you.",Perfect! What time works best for you on Friday?,0.0786,0.0741,0.0,0.0,0.8571,0.1672
adbd4e096a3853cc,0,7,Thank you!,"You’re welcome!   Hey Jyesha, try looking into Broadstone Energy Park if you haven’t signed yet. Really great rates right now under $1100   A little further west though",You're welcome! Let me know if you have any other questions.,0.2279,0.2439,0.0,0.0,0.8571,0.2449
1de7d9fad41f4f1f,0,8,I haven’t. Thank you !,"You’re welcome! Let me know if you decide to see them, these I’m required to be there for credit","Got it, thank you! Would you like me to send more details about Broadstone Energy Park?",0.1777,0.1622,0.0,0.0,1.0,0.2365
d1dfadfa80335d2b,0,9,Sure thing!,Hey Jyesha! Harlow has a 1 bedroom for $1144 available 12/17. Their A1 floorplan   Good morning*,Perfect! Just let me know when you're ready to schedule.,0.0,0.0,0.0,0.0,0.8571,0.1286
d8bf79e827cc2ab3,0,10,"Okay, Great! I’m going to feel out the app ASAP",Sounds perfect 👍🏼   Good morning! Noticed the unit isn’t there anymore. Hoping that was you who applied!,"Got it, thank you! Did you need any help with the application process?",0.14,0.0667,1.0,0.0,1.0,0.409
792a1febf9aa7c6a,0,11,Good Morning and It was! I hoped on it real fast. Lol,Lol perfect! 🙌🏼   Please keep me in the loop once they get back to you about approval,"Got it, that's great to hear! Let me know if you need any help with the next steps.",0.2294,0.1143,1.0,0.0,1.0,0.4474
68cd5b901e17da23,0,12,"Definitely will, Thank you!",Thanks! Pleasure is mine!,"Got it, thank you! Did you go ahead and apply or still weighing options?",0.0,0.0,1.0,0.0,1.0,0.3224
1479fd3e6d5921d7,0,13,"Good morning, I’m still in the process.     How does the renter’s verification work? Is it requires that they speak with a former landlord?","Okay, thanks for the update.     Many times it’s a 3rd party to screen and see if you’ve ever had any broken leases or missed or late payments. It’s possible they call and verify rental history themselves though","Got it, thank you! The renter's verification usually involves contacting a former landlord to confirm your rental history. If you have any specific concerns, I can help clarify.",0.315,0.2029,1.0,0.0,0.8571,0.4692
bce20f0d15589cad,0,14,"Hey Ashanti, my application has been approved. I’m about to move forward with signing the lease.",Awesome!! Congratulations!!🍾 That sounds perfect 👍    Can you ask them for the form for you to fill out for the locator referral please,Congratulations! That’s fantastic news!   Let me know if you need help with anything during the lease signing process.,0.2163,0.1951,0.0,0.0,0.8571,0.2335
82b20b8e2c1df01b,0,15,Thank you and sure will!,"Hey Jyesha, when you get a chance can you send me these details please?    - Full name of any/all lease holders  - Move-in date   - Lease Term  - Unit Number  - Base rent",Great! Let me know if you need any help with that or anything else.,0.1515,0.0909,1.0,0.0,1.0,0.4167
0d9cbfe07bc3dfef,0,16,Jyesha Ki’Imani Johnson  12/17  15 months   0901  1144.00    Sorry it took awhile.,"No worries! Thanks!   Hey Jyesha! Hope all is well, I just wanted to check on how things are going. How’s everything at your apartment?","No worries at all, Jyesha! Thanks for sending that over. I’ll take care of the rebate details for you.",0.3278,0.1778,0.0,0.0,0.7143,0.2485
c8bb4d9502af522b,0,17,Heyyy !  Sorry for my super late response.     I like my apartment. It’s just the management that I’m not happy with. They really don’t communicate with residents well.,Hey! No worries. I’m so sorry to hear that! It’s really unfortunate some offices don’t prioritize communication with their residents. Is there anything in particular you’ve experienced that you can let me know?,"Got it, I’m sorry to hear that about management. If you ever want to share your concerns with me or need any help navigating things, just let me know!",0.3833,0.2985,1.0,0.0,1.0,0.5289
5048eb4f8752318e,0,18,"Sure ,  Well my car was towed from the parking lot. When I inquired about it, I was told it was because I didn’t register correctly but they were not able or willing to tell me the correct way because they website you register on is ran by the towing company.     Now they are telling us we can’t have mats outside our door or ring cameras with no explanation.     We only have two working treadmills in the gym.",Wow I’m so sorry. I’m going to share this with my team. Properties that start giving clients major issues we monitor and will stop sending people if the building isn’t caring for the residents well. Thanks for the feedback and if anything else arises don’t hesitate to let me know! In some cases I can reach out to their corporate management company to see what can be done,"I’m really sorry to hear that. Those situations can be so frustrating, especially when it feels like there’s a lack of support from management. Have you considered bringing these concerns up in a meeting or through a resident feedback form? Sometimes it helps to voice those issues directly.",0.2329,0.1311,0.0,0.0,0.7143,0.2083
a47e7b7179e90fb9,0,19,"Okay, will do and thank you!","Of course!   Hey Jyesha, it’s Ashanti. I just emailed your list    Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽    Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!   Also you’ll be getting a $200 cash rebate or free move (your choice).     My new firm does that when you list me correctly as your referral when you tour and apply","Absolutely! I’m here to help. If you need anything else or have more feedback, just let me know!",0.2194,0.1017,0.0,0.0,0.8571,0.2206
6517b89f84104490,0,20,Thanks! I’ll be getting those to you soon.,My pleasure! Sounds perfect,"Sounds good! Just let me know when you're ready, and I'll take care of the rest.",0.1179,0.0909,1.0,0.0,1.0,0.3756
